Variant,Model,N_Folds,ACC,AUC,F1-score,Precision,Recall
L_CE,best_3c_net,5,56.5 ± 6.9,75.0 ± 6.0,55.9 ± 7.2,60.1 ± 5.8,56.5 ± 6.9
  + L_Ins2Ins,best_3c_net,5,56.3 ± 2.4,74.0 ± 2.7,55.0 ± 2.5,59.2 ± 4.1,56.3 ± 2.4
    + L_Ins2Cls,best_3c_net,5,55.2 ± 6.7,72.7 ± 4.5,54.5 ± 7.1,57.7 ± 10.1,55.2 ± 6.7
      + L_Cls2Cls  (HOPE),best_3c_net,5,50.2 ± 6.7,69.9 ± 5.3,49.2 ± 8.6,52.7 ± 9.4,50.2 ± 6.7
Exclude Ins2Ins Ablation,best_3c_net,5,53.0 ± 6.0,72.6 ± 5.7,51.8 ± 6.8,56.3 ± 6.2,53.0 ± 6.0
Exclude Ins2Cls Ablation,best_3c_net,5,52.7 ± 4.1,74.3 ± 4.3,51.7 ± 5.1,57.5 ± 6.4,52.7 ± 4.1
Triplet Ins2Cls (Poles),best_3c_net,5,53.7 ± 4.7,73.0 ± 5.1,50.4 ± 6.8,55.1 ± 4.4,53.7 ± 4.7
CE + Triplet Only,best_3c_net,5,53.3 ± 5.2,70.4 ± 4.2,51.6 ± 5.9,60.3 ± 8.5,53.3 ± 5.2
CE + Hierarchical Triplet Only,best_3c_net,5,54.3 ± 2.9,72.7 ± 3.8,53.0 ± 3.2,59.5 ± 6.8,54.3 ± 2.9
Hierarchical Triplet Ins2Cls,best_3c_net,5,57.2 ± 5.8,74.3 ± 7.0,56.7 ± 6.4,60.3 ± 6.8,57.2 ± 5.8
HOPE 4-Class (No EMA),best_3c_net,5,48.3 ± 5.4,64.0 ± 6.0,40.3 ± 5.5,35.8 ± 5.7,48.3 ± 5.4
Triplet Ins2Cls 4-Class,best_3c_net,5,54.8 ± 4.9,74.7 ± 2.4,50.9 ± 7.3,51.2 ± 8.5,54.8 ± 4.9
