Variant,Model,N_Folds,ACC,AUC,F1-score,Precision,Recall
L_CE,best_2c_net,5,65.5 ± 9.2,73.8 ± 6.9,64.4 ± 9.9,69.4 ± 6.4,65.5 ± 9.2
  + L_Ins2Ins,best_2c_net,5,66.9 ± 9.6,70.0 ± 14.8,60.7 ± 17.4,58.6 ± 23.2,66.9 ± 9.6
    + L_Ins2Cls,best_2c_net,5,64.4 ± 7.5,72.6 ± 8.5,60.9 ± 7.6,67.2 ± 13.5,64.4 ± 7.5
      + L_Cls2Cls  (HOPE),best_2c_net,5,68.7 ± 2.6,78.1 ± 2.3,67.6 ± 4.0,75.6 ± 4.3,68.7 ± 2.6
Exclude Ins2Ins Ablation,best_2c_net,5,58.8 ± 12.4,62.7 ± 12.6,56.7 ± 14.1,61.4 ± 16.8,58.8 ± 12.4
Exclude Ins2Cls Ablation,best_2c_net,5,61.4 ± 8.8,71.7 ± 12.0,58.7 ± 12.0,72.5 ± 5.4,61.4 ± 8.8
Triplet Ins2Cls (Poles),best_2c_net,5,70.7 ± 11.8,81.7 ± 4.3,67.3 ± 19.1,67.8 ± 24.3,70.7 ± 11.8
CE + Triplet Only,best_2c_net,5,68.1 ± 3.7,77.3 ± 3.9,67.0 ± 3.4,73.4 ± 4.3,68.1 ± 3.7
CE + Hierarchical Triplet Only,best_2c_net,5,70.7 ± 5.5,79.6 ± 4.0,69.9 ± 6.8,74.4 ± 4.2,70.7 ± 5.5
Hierarchical Triplet Ins2Cls,best_2c_net,5,70.6 ± 3.4,78.6 ± 3.6,69.9 ± 3.8,75.1 ± 3.9,70.6 ± 3.4
HOPE 4-Class (No EMA),best_2c_net,5,68.7 ± 4.3,77.1 ± 4.5,67.9 ± 5.0,70.4 ± 3.7,68.7 ± 4.3
Triplet Ins2Cls 4-Class,best_2c_net,5,70.0 ± 8.5,81.4 ± 2.6,69.0 ± 9.2,74.2 ± 2.5,70.0 ± 8.5
