Variant,Model,N_Folds,ACC,QWK,AUC,F1-score,Precision,Recall
L_CE,best_3c_net,5,56.5 ± 6.9,N/A,75.0 ± 6.0,55.9 ± 7.2,60.1 ± 5.8,56.5 ± 6.9
  + L_Ins2Ins,best_3c_net,5,56.3 ± 2.4,N/A,74.0 ± 2.7,55.0 ± 2.5,59.2 ± 4.1,56.3 ± 2.4
    + L_Ins2Cls,best_3c_net,5,55.2 ± 6.7,N/A,72.7 ± 4.5,54.5 ± 7.1,57.7 ± 10.1,55.2 ± 6.7
      + L_Cls2Cls  (HOPE),best_3c_net,5,56.3 ± 4.8,N/A,73.6 ± 5.9,56.7 ± 4.9,59.6 ± 6.1,56.3 ± 4.8
Exclude Ins2Ins Ablation,best_3c_net,5,53.0 ± 6.0,N/A,72.6 ± 5.7,51.8 ± 6.8,56.3 ± 6.2,53.0 ± 6.0
Exclude Ins2Cls Ablation,best_3c_net,5,52.7 ± 4.1,N/A,74.3 ± 4.3,51.7 ± 5.1,57.5 ± 6.4,52.7 ± 4.1
Triplet Ins2Cls (Poles),best_3c_net,5,53.7 ± 4.7,N/A,73.0 ± 5.1,50.4 ± 6.8,55.1 ± 4.4,53.7 ± 4.7
CE + Triplet Only,best_3c_net,5,53.3 ± 5.2,N/A,70.4 ± 4.2,51.6 ± 5.9,60.3 ± 8.5,53.3 ± 5.2
CE + Hierarchical Triplet Only,best_3c_net,5,54.3 ± 3.2,N/A,72.7 ± 4.3,53.0 ± 3.6,59.5 ± 7.6,54.3 ± 3.2
Hierarchical Triplet Ins2Cls,best_3c_net,5,57.2 ± 6.5,N/A,74.3 ± 7.9,56.7 ± 7.2,60.3 ± 7.6,57.2 ± 6.5
HOPE 4-Class (No EMA),best_3c_net,5,48.3 ± 5.4,N/A,64.0 ± 6.0,40.3 ± 5.5,35.8 ± 5.7,48.3 ± 5.4
Triplet Ins2Cls 4-Class,best_3c_net,5,54.8 ± 4.9,N/A,74.7 ± 2.4,50.9 ± 7.3,51.2 ± 8.5,54.8 ± 4.9
Hierarchical Triplet 4-Class,best_3c_net,5,52.0 ± 6.1,53.3 ± 8.0,73.5 ± 5.1,48.3 ± 9.5,48.9 ± 13.2,52.0 ± 6.1
QWK Hierarchical Triplet 4-Class,best_3c_net,5,54.2 ± 5.8,53.2 ± 13.6,70.1 ± 10.1,52.1 ± 9.8,53.2 ± 11.8,54.2 ± 5.8
3-Pole Triplet (Local),best_3c_net,5,53.5 ± 4.1,54.6 ± 7.2,74.0 ± 4.8,52.6 ± 5.7,58.3 ± 7.1,53.5 ± 4.1
3-Pole Triplet (Global),best_3c_net,5,52.0 ± 5.4,55.1 ± 4.8,73.5 ± 6.1,52.0 ± 5.6,55.9 ± 7.9,52.0 ± 5.4
CE + 3-Pole Triplet (Local) Only,best_3c_net,5,55.2 ± 1.9,53.7 ± 5.4,72.7 ± 2.7,53.3 ± 3.4,58.0 ± 3.3,55.2 ± 1.9
CE + 3-Pole Triplet (Global) Only,best_3c_net,5,54.7 ± 2.8,58.3 ± 6.3,72.7 ± 4.7,54.1 ± 2.7,54.9 ± 3.1,54.7 ± 2.8
CE + 3-Pole Triplet (Local) Only (Margin 0.0),best_3c_net,5,54.2 ± 3.8,52.6 ± 7.0,74.0 ± 5.8,52.4 ± 5.0,61.2 ± 5.1,54.2 ± 3.8
CE + 3-Pole Triplet (Global) Only (Margin 0.0),best_3c_net,5,52.2 ± 5.0,53.7 ± 5.5,72.8 ± 2.8,51.3 ± 5.0,55.3 ± 5.0,52.2 ± 5.0
