Variant,Model,N_Folds,ACC,AUC,F1-score,Precision,Recall
L_CE,best_2c_net,5,50.2 ± 3.3,74.1 ± 5.8,45.2 ± 6.6,56.4 ± 10.0,50.2 ± 3.3
+ L_Ins2Ins,best_2c_net,5,49.0 ± 9.2,73.5 ± 4.5,42.9 ± 14.6,46.4 ± 16.2,49.0 ± 9.2
+ L_Ins2Cls,best_2c_net,5,49.7 ± 2.7,71.3 ± 3.2,47.6 ± 3.4,53.5 ± 3.5,49.7 ± 2.7
+ L_Cls2Cls (HOPE),best_2c_net,5,55.5 ± 6.6,73.3 ± 5.5,52.4 ± 10.4,53.8 ± 13.8,55.5 ± 6.6
Exclude Ins2Ins Ablation,best_2c_net,5,49.5 ± 5.7,71.1 ± 3.7,47.0 ± 9.1,49.4 ± 13.3,49.5 ± 5.7
Exclude Ins2Cls Ablation,best_2c_net,5,51.8 ± 7.2,72.7 ± 6.2,49.5 ± 10.1,51.6 ± 13.1,51.8 ± 7.2
Triplet Ins2Cls (Poles),best_2c_net,5,50.3 ± 2.6,70.1 ± 4.8,46.9 ± 6.2,50.6 ± 8.7,50.3 ± 2.6
CE + Triplet Only,best_2c_net,5,46.7 ± 11.5,70.3 ± 7.4,41.2 ± 15.3,45.1 ± 15.5,46.7 ± 11.5
L_CE + L_Ins2Ins + L_3Pole_Triplet (Local) + L_Cls2Cls,best_2c_net,5,52.0 ± 4.5,73.8 ± 5.1,49.8 ± 6.0,55.4 ± 8.4,52.0 ± 4.5
L_CE + L_Ins2Ins + L_3Pole_Triplet (Global) + L_Cls2Cls,best_2c_net,5,51.8 ± 6.4,72.8 ± 4.8,49.5 ± 8.9,56.9 ± 6.8,51.8 ± 6.4
L_CE + L_3Pole_Triplet (Local) Only,best_2c_net,5,52.0 ± 5.4,72.7 ± 5.8,49.2 ± 7.3,61.0 ± 4.4,52.0 ± 5.4
L_CE + L_3Pole_Triplet (Global) Only,best_2c_net,5,51.3 ± 4.5,71.3 ± 4.4,50.6 ± 5.0,56.4 ± 8.3,51.3 ± 4.5
